"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NWCL","2024-08-11","1138","1238.5","1138","1230","9.24 %","51,666.00"
"NWCL","2024-08-08","1154","1200","1120.1","1126","-1.23 %","34,845.00"
"NWCL","2024-08-07","1100","1150","1090","1140","3.64 %","25,459.00"
"NWCL","2024-08-06","1239","1260","1098","1100","-9.84 %","68,331.00"
"NWCL","2024-08-05","1200","1250","1130","1220","3.39 %","66,946.00"
"NWCL","2024-08-01","1242.6","1264","1180","1180","-5.04 %","64,637.00"
"NWCL","2024-07-31","1140","1242.6","1135","1242.6","9.99 %","56,106.00"
"NWCL","2024-07-30","1015.5","1129.7","1015.5","1129.7","10.00 %","71,369.00"
"NWCL","2024-07-29","1050","1074","1027","1027","-2.28 %","45,425.00"
"NWCL","2024-07-28","1045","1070","1016.1","1051","2.54 %","36,767.00"
"NWCL","2024-07-25","1050","1050","1023.2","1025","-2.94 %","46,352.00"
"NWCL","2024-07-24","1100","1120","1029","1056","-2.14 %","52,931.00"
"NWCL","2024-07-23","1000.5","1079.1","1000","1079.1","10.00 %","49,983.00"
"NWCL","2024-07-22","926.2","1000","921","981","5.71 %","68,451.00"
"NWCL","2024-07-21","935","955","919","928","0.19 %","47,923.00"
"NWCL","2024-07-18","921.2","965","921.2","926.2","-1.46 %","52,787.00"
"NWCL","2024-07-17","923","948.6","905.1","939.9","1.83 %","38,971.00"
"NWCL","2024-07-16","891","925","891","923","2.78 %","27,085.00"
"NWCL","2024-07-15","940","950","896.1","898","-4.16 %","51,393.00"
"NWCL","2024-07-14","930.2","965","917","937","2.74 %","38,136.00"
"NWCL","2024-07-11","893","915","882.1","912","3.64 %","41,785.00"
"NWCL","2024-07-10","877","905","872.1","880","0.34 %","40,173.00"
"NWCL","2024-07-09","862.6","897.3","862.6","877","-0.34 %","27,619.00"
"NWCL","2024-07-08","881.1","915","872.1","880","-2.10 %","25,146.00"
"NWCL","2024-07-07","897","922","882.1","898.9","0.21 %","39,341.00"
"NWCL","2024-07-04","892","920","888","897","0.56 %","39,218.00"
"NWCL","2024-07-03","892.9","915","857.7","892","-0.11 %","38,473.00"
"NWCL","2024-07-02","889.4","935","872","893","2.41 %","21,537.00"
"NWCL","2024-07-01","895","895","867.3","872","-1.91 %","22,649.00"
"NWCL","2024-06-30","837.9","915","837.9","889","3.98 %","70,248.00"
"NWCL","2024-06-27","860.4","882","855","855","-2.51 %","10,221.00"
"NWCL","2024-06-26","840","899","831","877","4.97 %","45,896.00"
"NWCL","2024-06-25","855","867","835","835.5","-1.01 %","17,010.00"
"NWCL","2024-06-24","832","855","830","844","1.44 %","17,512.00"
"NWCL","2024-06-23","843.1","860","832","832","-3.24 %","17,684.00"
"NWCL","2024-06-20","858.1","877.5","841","859.9","-1.05 %","19,303.00"
"NWCL","2024-06-19","848.7","889","848.7","869","0.35 %","20,927.00"
"NWCL","2024-06-18","870","892.5","848.7","866","0.00 %","45,589.00"
"NWCL","2024-06-16","895","904.7","855","866","-3.78 %","29,695.00"
"NWCL","2024-06-13","876.2","928.2","875","900","3.21 %","62,705.00"
"NWCL","2024-06-12","835","877","835","872","5.30 %","47,288.00"
"NWCL","2024-06-11","854","855","826","828.1","-1.18 %","23,547.00"
"NWCL","2024-06-10","865","867","838","838","-2.21 %","40,317.00"
"NWCL","2024-06-09","850","880","836.2","856.9","2.49 %","49,169.00"
"NWCL","2024-06-06","815","849.9","810.3","836.1","2.34 %","32,146.00"
"NWCL","2024-06-05","816","830","805","817","-1.30 %","24,215.00"
"NWCL","2024-06-04","833","844","815","827.8","-1.10 %","33,909.00"
"NWCL","2024-06-03","820","889","816","837","2.07 %","51,842.00"
"NWCL","2024-06-02","785","834","764","820","3.81 %","62,857.00"
"NWCL","2024-05-30","841","848","780","789.9","-5.96 %","32,061.00"
"NWCL","2024-05-29","807.8","871.2","800","840","6.06 %","89,166.00"
"NWCL","2024-05-27","734","792","711.6","792","10.00 %","83,520.00"
"NWCL","2024-05-26","720","735","711","720","-1.37 %","8,980.00"
"NWCL","2024-05-22","721.1","745","721.1","730","-0.41 %","7,662.00"
"NWCL","2024-05-21","730","735","720.3","733","0.41 %","10,475.00"
"NWCL","2024-05-20","730","758.4","725","730","-0.30 %","9,103.00"
"NWCL","2024-05-19","722","750","722","732.2","-0.44 %","8,046.00"
"NWCL","2024-05-16","712","735.4","712","735.4","2.12 %","11,091.00"
"NWCL","2024-05-15","739","739","719.6","720.1","-1.87 %","9,011.00"
"NWCL","2024-05-14","737","737","721","733.8","-0.84 %","14,660.00"
"NWCL","2024-05-13","745","749","734.1","740","-1.20 %","23,392.00"
"NWCL","2024-05-12","720.3","760","720.2","749","3.45 %","21,415.00"
"NWCL","2024-05-09","700","734.4","700","724","2.27 %","11,953.00"
"NWCL","2024-05-08","691.2","711","691.2","707.9","0.41 %","1,560.00"
"NWCL","2024-05-07","678","715","678","705","2.03 %","10,423.00"
"NWCL","2024-05-06","709","709","688","691","-2.68 %","7,473.00"
"NWCL","2024-05-05","725","738.8","708","710","-2.32 %","8,762.00"
"NWCL","2024-05-02","723.1","745","721","726.9","-1.10 %","4,902.00"
"NWCL","2024-04-30","715","745","715","735","0.96 %","8,120.00"
"NWCL","2024-04-29","722","733","720.1","728","-0.82 %","3,596.00"
"NWCL","2024-04-28","729","742","720","734","0.69 %","2,819.00"
"NWCL","2024-04-25","715.6","734.4","715.6","729","1.67 %","4,475.00"
