"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MKCL","2024-08-11","1680","1755","1640","1710","2.09 %","20,039.00"
"MKCL","2024-08-08","1759","1760","1650","1675","-3.40 %","34,824.00"
"MKCL","2024-08-07","1645","1738.9","1625","1734","6.77 %","20,671.00"
"MKCL","2024-08-06","1800","1926","1603.8","1624","-8.87 %","53,062.00"
"MKCL","2024-08-05","1645","1782","1620","1782","10.00 %","46,403.00"
"MKCL","2024-08-01","1732.6","1802","1568","1620","-4.63 %","31,663.00"
"MKCL","2024-07-31","1656.3","1759","1640","1698.7","4.61 %","25,546.00"
"MKCL","2024-07-30","1479","1626.9","1479","1623.9","9.80 %","61,159.00"
"MKCL","2024-07-29","1497","1559","1450.1","1479","0.61 %","29,609.00"
"MKCL","2024-07-28","1430","1500","1425","1470","2.80 %","25,345.00"
"MKCL","2024-07-25","1430","1457","1421","1430","0.63 %","26,361.00"
"MKCL","2024-07-24","1534","1537","1421","1421","-5.72 %","41,175.00"
"MKCL","2024-07-23","1500","1556","1466","1507.2","0.82 %","22,664.00"
"MKCL","2024-07-22","1385","1494.9","1361","1494.9","10.00 %","45,732.00"
"MKCL","2024-07-21","1375","1397","1351","1359","-0.88 %","49,292.00"
"MKCL","2024-07-18","1410","1415","1363","1371","-0.89 %","43,157.00"
"MKCL","2024-07-17","1390","1418","1373","1383.3","-1.05 %","47,155.00"
"MKCL","2024-07-16","1400","1429.9","1388","1398","0.58 %","24,684.00"
"MKCL","2024-07-15","1448","1500","1377","1390","-2.18 %","24,362.00"
"MKCL","2024-07-14","1397.4","1482","1371","1421","3.72 %","39,137.00"
"MKCL","2024-07-11","1390","1440","1368.1","1370","0.51 %","35,789.00"
"MKCL","2024-07-10","1338.2","1366.8","1316","1363","3.89 %","26,517.00"
"MKCL","2024-07-09","1302","1330","1300","1312","0.77 %","28,883.00"
"MKCL","2024-07-08","1311.1","1348.4","1300","1302","-1.51 %","20,685.00"
"MKCL","2024-07-07","1362","1362","1305","1322","-1.12 %","43,348.00"
"MKCL","2024-07-04","1370","1382","1330","1337","-1.33 %","29,026.00"
"MKCL","2024-07-03","1327","1377","1295","1355","2.11 %","48,668.00"
"MKCL","2024-07-02","1299.4","1400","1260","1327","4.16 %","43,227.00"
"MKCL","2024-07-01","1264","1295","1255","1274","0.00 %","19,817.00"
"MKCL","2024-06-30","1206","1299.9","1187","1274","7.06 %","74,219.00"
"MKCL","2024-06-27","1172.1","1217","1172.1","1190","-0.50 %","29,150.00"
"MKCL","2024-06-26","1145","1224","1136","1196","6.50 %","54,403.00"
"MKCL","2024-06-25","1136","1155","1121.1","1123","0.81 %","16,251.00"
"MKCL","2024-06-24","1130","1151","1105","1114","0.54 %","27,993.00"
"MKCL","2024-06-23","1140","1158","1101.1","1108","-2.40 %","36,135.00"
"MKCL","2024-06-20","1196","1196","1135","1135.3","-3.21 %","12,456.00"
"MKCL","2024-06-19","1133","1195","1133","1172.9","1.55 %","27,079.00"
"MKCL","2024-06-18","1139","1173","1122.1","1155","1.40 %","31,307.00"
"MKCL","2024-06-16","1220","1224","1130.1","1139","-5.16 %","43,635.00"
"MKCL","2024-06-13","1200","1254.6","1180","1201","0.95 %","47,202.00"
"MKCL","2024-06-12","1151.1","1215.8","1151.1","1189.7","2.91 %","46,242.00"
"MKCL","2024-06-11","1125","1162.8","1121.4","1156.1","4.15 %","39,511.00"
"MKCL","2024-06-10","1082","1117","1072.1","1110","2.01 %","44,014.00"
"MKCL","2024-06-09","1075","1158","1071","1088.1","1.21 %","37,099.00"
"MKCL","2024-06-06","1011","1089.9","1011","1075.1","4.89 %","42,436.00"
"MKCL","2024-06-05","1020","1046.1","1010","1025","0.99 %","24,609.00"
"MKCL","2024-06-04","1040","1050.6","1015","1015","-1.46 %","13,742.00"
"MKCL","2024-06-03","994","1079.3","980","1030","4.97 %","62,447.00"
"MKCL","2024-06-02","950","995","931","981.2","1.95 %","41,424.00"
"MKCL","2024-05-30","991","1021","960","962.4","-4.81 %","24,202.00"
"MKCL","2024-05-29","974.2","1050.6","974.2","1011","5.85 %","71,924.00"
"MKCL","2024-05-27","870","955.1","867","955.1","10.00 %","18,461.00"
"MKCL","2024-05-26","876.2","881.2","866","868.3","-1.46 %","9,041.00"
"MKCL","2024-05-22","878","900","875.5","881.2","0.14 %","7,761.00"
"MKCL","2024-05-21","897","897","871","880","-0.03 %","7,260.00"
"MKCL","2024-05-20","896.1","910","880","880.3","0.19 %","9,186.00"
"MKCL","2024-05-19","890","903.8","875","878.6","-1.72 %","11,508.00"
"MKCL","2024-05-16","852.1","910","852.1","894","3.36 %","12,422.00"
"MKCL","2024-05-15","870","872","854.1","864.9","1.17 %","7,183.00"
"MKCL","2024-05-14","851","859","840","854.9","0.58 %","8,943.00"
"MKCL","2024-05-13","840","866.8","824.1","850","1.19 %","11,517.00"
"MKCL","2024-05-12","821","850","820.1","840","3.96 %","8,232.00"
"MKCL","2024-05-09","791","818","786.1","808","1.01 %","4,714.00"
"MKCL","2024-05-08","791","806","785","799.9","0.00 %","7,096.00"
"MKCL","2024-05-07","815","825","791","799.9","-2.48 %","11,429.00"
"MKCL","2024-05-06","826.4","838","820","820.2","-2.36 %","5,323.00"
"MKCL","2024-05-05","850","862.9","835","840","-2.78 %","6,799.00"
"MKCL","2024-05-02","855.3","881","855","864","-0.92 %","5,301.00"
"MKCL","2024-04-30","833.5","905","833.5","872","3.17 %","10,478.00"
"MKCL","2024-04-29","850","864.8","840.5","845.2","-0.56 %","4,137.00"
"MKCL","2024-04-28","860","877","847.2","850","-1.19 %","3,478.00"
"MKCL","2024-04-25","855","872","855","860.2","0.24 %","2,535.00"
"MKCL","2024-04-24","850","875","850","858.1","0.83 %","6,534.00"
"MKCL","2024-04-22","882","883","850","851","-3.51 %","6,368.00"
"MKCL","2024-04-21","871","882","846","882","0.57 %","10,378.00"
"MKCL","2024-04-18","906","915","869","877","-4.15 %","16,506.00"
"MKCL","2024-04-16","903.8","924","901.6","915","-0.54 %","8,811.00"
"MKCL","2024-04-15","921","930","919","920","-0.11 %","5,134.00"
"MKCL","2024-04-14","940","940","921","921","-0.75 %","5,893.00"
"MKCL","2024-04-10","956.7","956.7","920","928","-1.07 %","9,346.00"
"MKCL","2024-04-09","961.8","961.8","903.8","938","-0.53 %","8,254.00"
"MKCL","2024-04-07","965","965","940","943","-1.05 %","11,624.00"
"MKCL","2024-04-04","980.2","980.2","946.4","953","-0.83 %","6,936.00"
"MKCL","2024-04-03","957.8","992.4","945","961","0.00 %","6,946.00"
"MKCL","2024-04-02","960.1","973","945.2","961","-0.41 %","8,870.00"
"MKCL","2024-04-01","937.4","999","937.4","965","2.12 %","12,833.00"
"MKCL","2024-03-31","930.2","948","930.1","945","0.11 %","7,685.00"
"MKCL","2024-03-28","921.8","947","921.8","944","0.54 %","11,888.00"
"MKCL","2024-03-27","921.2","948","921.2","938.9","-0.12 %","6,154.00"
"MKCL","2024-03-26","930","947.9","930","940","0.14 %","5,860.00"
"MKCL","2024-03-25","941","947","925","938.7","-0.15 %","9,002.00"
"MKCL","2024-03-21","930","951","922","940.1","0.33 %","6,766.00"
