"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CKHL","2024-08-11","671","713","671","688.3","2.67 %","13,546.00"
"CKHL","2024-08-08","697","700","660","670.4","-1.90 %","11,031.00"
"CKHL","2024-08-07","674","698","663","683.4","1.24 %","7,287.00"
"CKHL","2024-08-06","710","714","661.5","675","-3.43 %","20,474.00"
"CKHL","2024-08-05","728","728","687.1","699","-2.10 %","7,996.00"
"CKHL","2024-08-01","690","719","673.5","714","3.48 %","30,553.00"
"CKHL","2024-07-31","714","728.2","674.4","690","-3.36 %","32,827.00"
"CKHL","2024-07-30","704","714","671","714","2.00 %","24,115.00"
"CKHL","2024-07-29","707","710","683","700","-2.78 %","13,751.00"
"CKHL","2024-07-28","707","723","660","720","3.66 %","25,704.00"
"CKHL","2024-07-25","710","723.1","694.6","694.6","-2.17 %","25,202.00"
"CKHL","2024-07-24","783","783","704","710","-7.79 %","29,936.00"
"CKHL","2024-07-23","750","774","728","770","0.65 %","12,983.00"
"CKHL","2024-07-22","722","765","701","765","5.96 %","31,472.00"
"CKHL","2024-07-21","673.3","750","673.3","722","5.09 %","50,705.00"
"CKHL","2024-07-18","651","710","640","687","5.30 %","31,665.00"
"CKHL","2024-07-17","647.9","652.4","633.2","652.4","1.94 %","18,309.00"
"CKHL","2024-07-16","595","644","595","640","5.49 %","35,974.00"
"CKHL","2024-07-15","611.1","618","606","606.7","-2.62 %","9,548.00"
"CKHL","2024-07-14","632.4","645","608","623","0.48 %","16,961.00"
"CKHL","2024-07-11","603","620","603","620","0.98 %","8,181.00"
"CKHL","2024-07-10","605.1","617","603.5","614","-0.16 %","12,247.00"
"CKHL","2024-07-09","588","615","588","615","4.59 %","33,187.00"
"CKHL","2024-07-08","599.9","599.9","581.1","588","-0.03 %","6,689.00"
"CKHL","2024-07-07","595","603","588.1","588.2","-1.19 %","6,855.00"
"CKHL","2024-07-04","595","631","590","595.3","1.57 %","11,199.00"
"CKHL","2024-07-03","604.6","617","586.1","586.1","-4.70 %","14,731.00"
"CKHL","2024-07-02","621.1","645","606","615","0.99 %","15,219.00"
"CKHL","2024-07-01","603","611.9","595.2","609","1.00 %","5,175.00"
"CKHL","2024-06-30","603.2","620","593.1","603","-1.95 %","14,964.00"
"CKHL","2024-06-27","617.1","622","600","615","-2.27 %","12,265.00"
"CKHL","2024-06-26","630","642","613.2","629.3","-1.67 %","12,318.00"
"CKHL","2024-06-25","599.9","640.8","599.9","640","6.68 %","38,592.00"
"CKHL","2024-06-24","585","599.9","561.9","599.9","3.04 %","32,778.00"
"CKHL","2024-06-23","604.8","604.8","575","582.2","-1.82 %","8,409.00"
"CKHL","2024-06-20","595","605","587.1","593","-1.00 %","10,246.00"
"CKHL","2024-06-19","597","600","588.1","599","0.34 %","8,455.00"
"CKHL","2024-06-18","595","600","551","597","1.19 %","21,412.00"
"CKHL","2024-06-16","579","595","575","590","0.08 %","13,221.00"
"CKHL","2024-06-13","595.9","602","579","589.5","-3.04 %","7,774.00"
"CKHL","2024-06-12","598","615","580","608","3.58 %","31,464.00"
"CKHL","2024-06-11","596","603","585","587","-1.24 %","8,315.00"
"CKHL","2024-06-10","570","594.6","561","594.4","6.33 %","45,994.00"
"CKHL","2024-06-09","537","559","537","559","4.10 %","15,780.00"
"CKHL","2024-06-06","542.8","553","535","537","0.90 %","5,070.00"
"CKHL","2024-06-05","550","555","532.2","532.2","-3.24 %","11,918.00"
"CKHL","2024-06-04","555","560","548.8","550","-1.77 %","10,215.00"
"CKHL","2024-06-03","555.3","564","555","559.9","-0.55 %","7,365.00"
"CKHL","2024-06-02","560","564","555","563","0.54 %","12,578.00"
"CKHL","2024-05-30","560","567.1","550.3","560","-0.18 %","10,060.00"
"CKHL","2024-05-29","556","570","542.1","561","1.45 %","18,996.00"
"CKHL","2024-05-27","541","563","533","553","0.18 %","11,349.00"
"CKHL","2024-05-26","560","565","543","552","-3.33 %","8,253.00"
"CKHL","2024-05-22","571.5","571.5","555.2","571","1.91 %","23,421.00"
"CKHL","2024-05-21","566","569","544","560.3","0.95 %","7,537.00"
"CKHL","2024-05-20","551.8","560","540","555","2.59 %","19,239.00"
"CKHL","2024-05-19","523","545","523","541","3.26 %","19,125.00"
"CKHL","2024-05-16","536","536","520","523.9","-0.76 %","6,772.00"
"CKHL","2024-05-15","540","550","525","527.9","-3.32 %","7,840.00"
"CKHL","2024-05-14","506","549","506","546","7.06 %","20,170.00"
"CKHL","2024-05-13","502","510","495","510","0.99 %","15,683.00"
"CKHL","2024-05-12","506.3","516.3","505","505","-0.98 %","5,262.00"
"CKHL","2024-05-09","493","510","493","510","3.45 %","10,374.00"
"CKHL","2024-05-08","490","499.8","488.5","493","0.37 %","2,030.00"
"CKHL","2024-05-07","499.8","516","480.5","491.2","0.24 %","7,153.00"
"CKHL","2024-05-06","486","493","481.5","490","0.00 %","4,521.00"
"CKHL","2024-05-05","495","506","487","490","-1.23 %","9,571.00"
"CKHL","2024-05-02","495","514.8","495","496.1","-1.72 %","7,483.00"
"CKHL","2024-04-30","492","511.9","490","504.8","1.16 %","21,093.00"
